name,url,href,author,comment_count,follower, content
Steins Gate,https://i.pinimg.com/236x/7b/2e/d0/7b2ed0cbc5201c3a7a6d5a63003e03d4.jpg,/pin/21814379431185525/,Alvin Cañete,Comments,26followers,None
Steins Gate,https://i.pinimg.com/236x/7f/53/cf/7f53cf11ca23d95e32b0be3e7812823b.jpg,/pin/359091770305360938/,Author not found,1 Comment,3,None
Steins Gate,https://i.pinimg.com/236x/8e/55/cd/8e55cd2b493a08836387e1cc9bb97611.jpg,/pin/27866091439976622/,Author not found,Comments,1k,Steins Gate
Steins Gate,https://i.pinimg.com/236x/1a/12/da/1a12daa7d03249e82a9911b183f2515f.jpg,/pin/27866091440097450/,Estrelinha,Comments,938followers,None
Steins Gate,https://i.pinimg.com/videos/thumbnails/originals/89/4d/35/894d35465938e5c02ac79ff0d4d661e8.0000000.jpg,/pin/2744449765665330/,Irregular Spectre,Comments,347followers,None
Steins Gate,https://i.pinimg.com/236x/78/2a/fb/782afb29cf830eb98a02c5fac2741868.jpg,/pin/334533078591009492/,Author not found,Comments,64,Steins;Gate
Steins Gate,https://i.pinimg.com/236x/d7/cd/ed/d7cdeda637cfb0efb5d5e4b621da2a82.jpg,/pin/29977153761579804/,Author not found,Comments,17k,None
Steins Gate,https://i.pinimg.com/236x/42/55/d8/4255d83c9d4bd19c113db36c20f2ed2b.jpg,/pin/100697741661238366/,Author not found,Comments,4k,None
Steins Gate,https://i.pinimg.com/236x/15/c9/84/15c98429337a7c8729c929050d7de164.jpg,/pin/132856257751715404/,Author not found,Comments,16k,None
Steins Gate,https://i.pinimg.com/236x/7f/c3/12/7fc3124c1644c1ded65858b752f81b40.jpg,/pin/596023331910643208/,glow sin,Comments,78followers,None
Steins Gate,https://i.pinimg.com/236x/2e/03/94/2e039409fd47e1dc96b3b0956e92de8f.jpg,/pin/6614730696297034/,Author not found,1 Comment,19,None
Steins Gate,https://i.pinimg.com/236x/2a/7c/b5/2a7cb58399154b413584435a0c4f0bc6.jpg,/pin/210754457550825258/,Day,Comments,29followers,None
Steins Gate,https://i.pinimg.com/236x/c0/84/5b/c0845ba399b2f3e093fb4ff314b71776.jpg,/pin/50454458318943056/,Author not found,Comments,5M,Steins;Gate
Steins Gate,https://i.pinimg.com/474x/7e/d0/50/7ed050a4f3d4f92905916fe71bdacd49.jpg,/pin/765541636690420335/,Monde ADN | Animés & Mangas | Boutique Figurines,Comments,127,"Steins;Gate est une série télévisée animée japonaise créée par le studio d'animation White Fox sur la base de 5pb. et le roman visuel du même nom de Nitroplus de 2009. La série a été diffusée pendant 24 épisodes, d'avril à septembre 2011"
Steins Gate,https://i.pinimg.com/236x/da/bd/27/dabd273cccf17e8cab87aac3dca62ffa.jpg,/pin/93168286035209358/,mistaeko,1 Comment,11followers,None
Steins Gate,https://i.pinimg.com/236x/b2/7f/02/b27f0285acd87b93652c5bdbe871665a.jpg,/pin/16044142409278859/,Sayali V,Comments,4kfollowers,None
Steins Gate,https://i.pinimg.com/474x/90/c0/f3/90c0f3c04ad1487ca259338cfb83a396.jpg,/pin/64317100923621912/,Zenden,1 Comment,4,"kurisu makise, steins;gate"
Steins Gate,https://i.pinimg.com/236x/9a/5f/07/9a5f07a226cbb5686d654b59cc745d41.jpg,/pin/248683210667575708/,🐼,1 Comment,27followers,None
Steins Gate,https://i.pinimg.com/236x/98/f6/3c/98f63c93acf8188c6531d9a0832e3cc6.jpg,/pin/5348093301705284/,Júlio Teixeira,Comments,17followers,None
Steins Gate,https://i.pinimg.com/236x/3c/ff/bd/3cffbde7e754ed15bb9fe23795fddea4.jpg,/pin/57772807710849330/,Author not found,Comments,252,None
Steins Gate,https://i.pinimg.com/236x/7d/fa/be/7dfabec67570ddf0abadda3686375990.jpg,/pin/263953228154450260/,Author not found,Comments,64,Steins;Gate 0
Steins Gate,https://i.pinimg.com/236x/a4/6c/91/a46c91a4c5f790f4cb3a9cd31a3d1ae8.jpg,/pin/2322237298595398/,Felipe Bolaños,Comments,90followers,None
Steins Gate,https://i.pinimg.com/236x/0c/b1/d3/0cb1d347c40486b3cb518ecdfe26d14b.jpg,/pin/6473993202374063/,Marian Butner,Comments,898followers,None
Steins Gate,https://i.pinimg.com/236x/eb/fa/fe/ebfafead41018f4efc0481c789d7ac37.jpg,/pin/7810999341665604/,Var24,Comments,118followers,None
Steins Gate,https://i.pinimg.com/236x/21/1b/1a/211b1acc34776cfa941e6e57953aae1c.jpg,/pin/43276846413009701/,Vlad Moscow,2 Comments,1follower,None
